# Data of the correlation along the created chain
#
# Step	Correlation
0	0.486407
1	0.237476
2	0.116196
3	0.056953
4	0.027945
5	0.013749
6	0.006750
7	0.003313
8	0.001629
9	0.000797
10	0.000384
11	0.000185
12	0.000086
13	0.000040
14	0.000018
15	0.000008
16	0.000004
17	0.000002
18	0.000001
19	0.000000
