# Data of the correlation along the created chain
#
# Step	Correlation
0	0.652798
1	0.428641
2	0.282132
3	0.185967
4	0.122679
5	0.080990
6	0.053507
7	0.035334
8	0.023318
9	0.015400
10	0.010182
11	0.006741
12	0.004473
13	0.002961
14	0.001966
15	0.001304
16	0.000863
17	0.000569
18	0.000373
19	0.000248
