# Data of the correlation along the created chain
#
# Step	Correlation
0	0.581444
1	0.354238
2	0.221309
3	0.140155
4	0.089526
5	0.057528
6	0.037095
7	0.023998
8	0.015562
9	0.010114
10	0.006587
11	0.004302
12	0.002816
13	0.001839
14	0.001196
15	0.000777
16	0.000508
17	0.000327
18	0.000208
19	0.000135
