# Data of the correlation along the created chain
#
# Step	Correlation
0	0.663448
1	0.440728
2	0.292837
3	0.194614
4	0.129362
5	0.085981
6	0.057196
7	0.038020
8	0.025283
9	0.016794
10	0.011150
11	0.007410
12	0.004916
13	0.003275
14	0.002167
15	0.001434
16	0.000955
17	0.000635
18	0.000421
19	0.000278
