0.050000	0
0.150000	0
0.250000	0
0.350000	0
0.450000	1
0.550000	1
0.650000	2
0.750000	5
0.850000	4
0.950000	9
1.050000	19
1.150000	23
1.250000	26
1.350000	42
1.450000	57
1.550000	86
1.650000	165
1.750000	197
1.850000	283
1.950000	407
2.050000	552
2.150000	740
2.250000	989
2.350000	1273
2.450000	1678
2.550000	2190
2.650000	2631
2.750000	3305
2.850000	4266
2.950000	5237
3.050000	6372
3.150000	7553
3.250000	8513
3.350000	9919
3.450000	10946
3.550000	12193
3.650000	13735
3.750000	15227
3.850000	16775
3.950000	18494
4.050000	20426
4.150000	22731
4.250000	25182
4.350000	27496
4.450000	29811
4.550000	31293
4.650000	32404
4.750000	34046
4.850000	35642
4.950000	37611
5.050000	40288
5.150000	41610
5.250000	43021
5.350000	43270
5.450000	43041
5.550000	41646
5.650000	39732
5.750000	37093
5.850000	34327
5.950000	31114
6.050000	27850
6.150000	24410
6.250000	21412
6.350000	17766
6.450000	15028
6.550000	12522
6.650000	10316
6.750000	8353
6.850000	6483
6.950000	4999
7.050000	3990
7.150000	3045
7.250000	2278
7.350000	1734
7.450000	1195
7.550000	932
7.650000	669
7.750000	446
7.850000	301
7.950000	202
8.050000	137
8.150000	88
8.250000	54
8.350000	31
8.450000	24
8.550000	13
8.650000	8
8.750000	4
8.850000	3
8.950000	4
9.050000	2
9.150000	1
9.250000	0
9.350000	0
9.450000	0
9.550000	0
9.650000	0
9.750000	0
9.850000	0
9.950000	0
