0.050000	0
0.150000	0
0.250000	2
0.350000	4
0.450000	5
0.550000	4
0.650000	12
0.750000	15
0.850000	11
0.950000	31
1.050000	38
1.150000	53
1.250000	86
1.350000	106
1.450000	133
1.550000	218
1.650000	279
1.750000	369
1.850000	517
1.950000	717
2.050000	933
2.150000	1221
2.250000	1528
2.350000	2028
2.450000	2632
2.550000	3151
2.650000	4075
2.750000	5096
2.850000	5995
2.950000	7413
3.050000	9058
3.150000	10894
3.250000	12816
3.350000	14772
3.450000	17069
3.550000	19826
3.650000	22575
3.750000	25313
3.850000	28432
3.950000	31377
4.050000	33399
4.150000	36289
4.250000	38305
4.350000	40462
4.450000	42034
4.550000	43273
4.650000	44364
4.750000	43799
4.850000	43940
4.950000	42632
5.050000	41463
5.150000	39581
5.250000	37225
5.350000	34438
5.450000	31876
5.550000	28425
5.650000	25565
5.750000	22543
5.850000	19692
5.950000	16644
6.050000	13761
6.150000	11639
6.250000	9387
6.350000	7520
6.450000	5892
6.550000	4629
6.650000	3515
6.750000	2687
6.850000	1911
6.950000	1402
7.050000	899
7.150000	696
7.250000	485
7.350000	286
7.450000	193
7.550000	128
7.650000	83
7.750000	50
7.850000	42
7.950000	18
8.050000	13
8.150000	8
8.250000	0
8.350000	1
8.450000	1
8.550000	0
8.650000	0
8.750000	0
8.850000	0
8.950000	0
9.050000	0
9.150000	0
9.250000	0
9.350000	0
9.450000	0
9.550000	0
9.650000	0
9.750000	0
9.850000	0
9.950000	0
